#Contract;ISIN;Coupon;Maturity;ConvFac
CONF 2026-03-06;CH0557778310;0.25;23.06.2035;0.600686
CONF 2026-03-06;CH0127181193;1.25;27.06.2037;0.619274
CONF 2026-03-06;CH0024524966;2.5;08.03.2036;0.743927
CONF 2026-03-06;CH0440081567;1.5;26.10.2038;0.610165
CONF 2026-03-06;CH0440081393;0.0;26.06.2034;0.618339
CONF 2026-06-08;CH0557778310;0.25;23.06.2035;0.608903
CONF 2026-06-08;CH0127181193;1.25;27.06.2037;0.625373
CONF 2026-06-08;CH0024524966;2.5;08.03.2036;0.748624
CONF 2026-06-08;CH0440081567;1.5;26.10.2038;0.61546
CONF 2026-06-08;CH0440081393;0.0;26.06.2034;0.627412
FBEU 2026-03-06;EU000A3K4ES4;3.0;04.12.2034;0.800351
FBEU 2026-03-06;EU000A3K4D41;3.25;04.07.2034;0.823748
FBEU 2026-03-06;EU000A4D8KD2;3.375;12.12.2035;0.810075
FBEU 2026-06-08;EU000A3K4ES4;3.0;04.12.2034;0.804748
FBEU 2026-06-08;EU000A4D8KD2;3.375;12.12.2035;0.813674
FBEU 2026-06-08;EU000A3K4D41;3.25;04.07.2034;0.828072
FBEU 2026-09-08;EU000A3K4ES4;3.0;04.12.2034;0.809321
FBEU 2026-09-08;EU000A4D8KD2;3.375;12.12.2035;0.817452
FBON 2026-03-06;ES0000012O67;3.15;30.04.2035;0.803761
FBON 2026-03-06;ES0000012P33;3.2;31.10.2035;0.799169
FBON 2026-03-06;ES0000012N35;3.45;31.10.2034;0.831602
FBON 2026-06-08;ES0000012Q08;3.3;30.04.2036;0.802833
FBON 2026-06-08;ES0000012P33;3.2;31.10.2035;0.803096
FBON 2026-06-08;ES0000012O67;3.15;30.04.2035;0.807907
FBON 2026-09-08;ES0000012P33;3.2;31.10.2035;0.8072
FBON 2026-09-08;ES0000012O67;3.15;30.04.2035;0.811973
FBON 2026-09-08;ES0000012Q08;3.3;30.04.2036;0.806448
FBTM 2026-03-06;IT0005619546;3.15;15.11.2031;0.868006
FBTM 2026-03-06;IT0005595803;3.45;15.07.2031;0.888371
FBTM 2026-03-06;IT0005580094;3.5;15.02.2031;0.897719
FBTM 2026-03-06;IT0005413171;1.65;01.12.2030;0.826239
FBTM 2026-03-06;IT0005436693;0.6;01.08.2031;0.757513
FBTM 2026-03-06;IT0005422891;0.9;01.04.2031;0.783493
FBTM 2026-03-06;IT0005449969;0.95;01.12.2031;0.761797
FBTM 2026-03-06;IT0005671273;2.85;01.02.2031;0.871112
FBTM 2026-03-06;IT0005654642;2.7;01.10.2030;0.873177
FBTM 2026-03-06;IT0005561888;4.0;15.11.2030;0.922683
FBTM 2026-06-08;IT0005580094;3.5;15.02.2031;0.90225
FBTM 2026-06-08;IT0005671273;2.85;01.02.2031;0.876908
FBTM 2026-06-08;IT0005619546;3.15;15.11.2031;0.873011
FBTM 2026-06-08;IT0005595803;3.45;15.07.2031;0.892933
FBTM 2026-06-08;IT0005422891;0.9;01.04.2031;0.792811
FBTM 2026-06-08;IT0005449969;0.95;01.12.2031;0.770725
FBTM 2026-06-08;IT0005466013;0.95;01.06.2032;0.753207
FBTM 2026-06-08;IT0005436693;0.6;01.08.2031;0.767298
FBTM 2026-09-08;IT0005619546;3.15;15.11.2031;0.877979
FBTM 2026-09-08;IT0005449969;0.95;01.12.2031;0.779712
FBTM 2026-09-08;IT0005595803;3.45;15.07.2031;0.897489
FBTM 2026-09-08;IT0005647265;3.25;15.07.2032;0.869952
FBTM 2026-09-08;IT0005436693;0.6;01.08.2031;0.777163
FBTM 2026-09-08;IT0005422891;0.9;01.04.2031;0.802272
FBTM 2026-09-08;IT0005466013;0.95;01.06.2032;0.761936
FBTP 2026-03-06;IT0005631590;3.65;01.08.2035;0.83858
FBTP 2026-03-06;IT0005358806;3.35;01.03.2035;0.823467
FBTP 2026-03-06;IT0005648149;3.6;01.10.2035;0.83289
FBTP 2026-03-06;IT0005402117;1.45;01.03.2036;0.667105
FBTP 2026-03-06;IT0005607970;3.85;01.02.2035;0.858805
FBTP 2026-03-06;IT0005433195;0.95;01.03.2037;0.603359
FBTP 2026-03-06;IT0005676504;3.45;01.02.2036;0.817404
FBTP 2026-06-08;IT0005631590;3.65;01.08.2035;0.84187
FBTP 2026-06-08;IT0005358806;3.35;01.03.2035;0.827188
FBTP 2026-06-08;IT0005648149;3.6;01.10.2035;0.836166
FBTP 2026-06-08;IT0005402117;1.45;01.03.2036;0.673275
FBTP 2026-06-08;IT0005433195;0.95;01.03.2037;0.609841
FBTP 2026-06-08;IT0005607970;3.85;01.02.2035;0.861891
FBTP 2026-06-08;IT0005676504;3.45;01.02.2036;0.820883
FBTP 2026-09-08;IT0005631590;3.65;01.08.2035;0.845212
FBTP 2026-09-08;IT0005676504;3.45;01.02.2036;0.824415
FBTP 2026-09-08;IT0005402117;1.45;01.03.2036;0.679587
FBTP 2026-09-08;IT0005648149;3.6;01.10.2035;0.839556
FBTP 2026-09-08;IT0005433195;0.95;01.03.2037;0.616457
FBTS 2026-03-06;IT0005641029;2.65;15.06.2028;0.931685
FBTS 2026-03-06;IT0005340929;2.8;01.12.2028;0.92258
FBTS 2026-03-06;IT0005433690;0.25;15.03.2028;0.893961
FBTS 2026-03-06;IT0005467482;0.45;15.02.2029;0.854698
FBTS 2026-03-06;IT0005521981;3.4;01.04.2028;0.95161
FBTS 2026-03-06;IT0005445306;0.5;15.07.2028;0.882528
FBTS 2026-03-06;IT0005548315;3.8;01.08.2028;0.953356
FBTS 2026-03-06;IT0005566408;4.1;01.02.2029;0.952313
FBTS 2026-03-06;IT0005660052;2.35;15.01.2029;0.907738
FBTS 2026-06-08;IT0005467482;0.45;15.02.2029;0.86631
FBTS 2026-06-08;IT0005340929;2.8;01.12.2028;0.92928
FBTS 2026-06-08;IT0005445306;0.5;15.07.2028;0.894434
FBTS 2026-06-08;IT0005548315;3.8;01.08.2028;0.957979
FBTS 2026-06-08;IT0005566408;4.1;01.02.2029;0.956163
FBTS 2026-06-08;IT0005641029;2.65;15.06.2028;0.938901
FBTS 2026-06-08;IT0005495731;2.8;15.06.2029;0.915211
FBTS 2026-06-08;IT0005584849;3.35;01.07.2029;0.929081
FBTS 2026-06-08;IT0005365165;3.0;01.08.2029;0.917496
FBTS 2026-06-08;IT0005689960;2.4;15.03.2029;0.911595
FBTS 2026-06-08;IT0005660052;2.35;15.01.2029;0.91536
FBTS 2026-09-08;IT0005611055;3.0;01.10.2029;0.919582
FBTS 2026-09-08;IT0005467482;0.45;15.02.2029;0.878049
FBTS 2026-09-08;IT0005660052;2.35;15.01.2029;0.922999
FBTS 2026-09-08;IT0005566408;4.1;01.02.2029;0.960072
FBTS 2026-09-08;IT0005340929;2.8;01.12.2028;0.935963
FBTS 2026-09-08;IT0005365165;3.0;01.08.2029;0.923584
FBTS 2026-09-08;IT0005584849;3.35;01.07.2029;0.934388
FBTS 2026-09-08;IT0005495731;2.8;15.06.2029;0.921684
FBTS 2026-09-08;IT0005689960;2.4;15.03.2029;0.919055
FGBL 2026-03-06;DE000BU2Z056;2.6;15.08.2035;0.760127
FGBL 2026-03-06;DE000BU3Z047;2.5;15.02.2035;0.763168
FGBL 2026-03-06;DE000BU2Z049;2.5;15.02.2035;0.763168
FGBL 2026-06-08;DE000BU2Z056;2.6;15.08.2035;0.765083
FGBL 2026-06-08;DE000BU3Z047;2.5;15.02.2035;0.768181
FGBL 2026-06-08;DE000BU2Z049;2.5;15.02.2035;0.768181
FGBL 2026-06-08;DE000BU2Z064;2.9;15.02.2036;0.776886
FGBL 2026-09-08;DE000BU2Z056;2.6;15.08.2035;0.770088
FGBL 2026-09-08;DE000BU2Z064;2.9;15.02.2036;0.781249
FGBM 2026-03-06;DE0001030732;0.0;15.08.2031;0.728646
FGBM 2026-03-06;DE0001102564;0.0;15.08.2031;0.728646
FGBM 2026-03-06;DE000BU25059;2.2;10.10.2030;0.851136
FGBM 2026-03-06;DE000BU27006;2.4;15.11.2030;0.856512
FGBM 2026-03-06;DE0001102531;0.0;15.02.2031;0.750007
FGBM 2026-06-08;DE0001030732;0.0;15.08.2031;0.739426
FGBM 2026-06-08;DE0001102564;0.0;15.08.2031;0.739426
FGBM 2026-06-08;DE000BU25067;2.5;16.04.2031;0.856018
FGBM 2026-06-08;DE0001102531;0.0;15.02.2031;0.761104
FGBM 2026-09-08;DE0001102580;0.0;15.02.2032;0.728646
FGBM 2026-09-08;DE0001030732;0.0;15.08.2031;0.750366
FGBM 2026-09-08;DE0001102564;0.0;15.08.2031;0.750366
FGBM 2026-09-08;DE000BU25067;2.5;16.04.2031;0.86253
FGBS 2026-03-06;DE0001102440;0.5;15.02.2028;0.902156
FGBS 2026-03-06;DE000BU22114;2.0;16.12.2027;0.934425
FGBS 2026-03-06;DE000BU25000;2.2;13.04.2028;0.927225
FGBS 2026-06-08;DE000BU25000;2.2;13.04.2028;0.935489
FGBS 2026-06-08;DE000BU22122;2.1;15.03.2028;0.936365
FGBS 2026-06-08;DE0001102457;0.25;15.08.2028;0.88563
FGBS 2026-09-08;DE0001102457;0.25;15.08.2028;0.898123
FGBS 2026-09-08;DE000BU25018;2.4;19.10.2028;0.930616
FGBS 2026-09-08;DE0001102556;0.0;15.11.2028;0.880668
FGBX 2026-03-06;DE0001102572;0.0;15.08.2052;0.354617
FGBX 2026-03-06;DE0001102614;1.8;15.08.2053;0.637451
FGBX 2026-03-06;DE0001102481;0.0;15.08.2050;0.383554
FGBX 2026-03-06;DE0001030757;1.8;15.08.2053;0.637451
FGBX 2026-03-06;DE0001030724;0.0;15.08.2050;0.383554
FGBX 2026-03-06;DE000BU2D012;2.9;15.08.2056;0.808012
FGBX 2026-03-06;DE000BU2D004;2.5;15.08.2054;0.747828
FGBX 2026-06-08;DE000BU2D004;2.5;15.08.2054;0.749097
FGBX 2026-06-08;DE0001102572;0.0;15.08.2052;0.35814
FGBX 2026-06-08;DE0001102614;1.8;15.08.2053;0.639349
FGBX 2026-06-08;DE0001102481;0.0;15.08.2050;0.387365
FGBX 2026-06-08;DE0001030757;1.8;15.08.2053;0.639349
FGBX 2026-06-08;DE0001030724;0.0;15.08.2050;0.387365
FGBX 2026-06-08;DE000BU2D012;2.9;15.08.2056;0.809016
FGBX 2026-09-08;DE000BU2D012;2.9;15.08.2056;0.809987
FGBX 2026-09-08;DE0001030757;1.8;15.08.2053;0.64126
FGBX 2026-09-08;DE0001102572;0.0;15.08.2052;0.361698
FGBX 2026-09-08;DE000BU2D004;2.5;15.08.2054;0.750372
FGBX 2026-09-08;DE0001102614;1.8;15.08.2053;0.64126
FOAM 2026-03-06;FR0012993103;1.5;25.05.2031;0.803613
FOAM 2026-03-06;FR0013516549;0.0;25.11.2030;0.759889
FOAM 2026-03-06;FR001400Z2L7;2.7;25.02.2031;0.861819
FOAM 2026-06-08;FR0012993103;1.5;25.05.2031;0.811859
FOAM 2026-06-08;FR001400Z2L7;2.7;25.02.2031;0.867779
FOAM 2026-06-08;FR0014002WK3;0.0;25.11.2031;0.727483
FOAM 2026-09-08;FR0014002WK3;0.0;25.11.2031;0.738247
FOAM 2026-09-08;FR0012993103;1.5;25.05.2031;0.820099
FOAT 2026-03-06;FR001400X8V5;3.2;25.05.2035;0.806067
FOAT 2026-03-06;FR001400QMF9;3.0;25.11.2034;0.800773
FOAT 2026-03-06;FR0014012II5;3.5;25.11.2035;0.819723
FOAT 2026-06-08;FR0014012II5;3.5;25.11.2035;0.823178
FOAT 2026-06-08;FR001400X8V5;3.2;25.05.2035;0.81022
FOAT 2026-09-08;FR0014012II5;3.5;25.11.2035;0.826814
FOAT 2026-09-08;FR001400X8V5;3.2;25.05.2035;0.814163
